timestamp,case_id,case_name,case_category,priority,api_name,method,path,status,expected_http_status,actual_http_status,expected_result_type,actual_result_type,request_payload,response_headers,blocked_by_link,rfc_7725_check,response_body,assertion_summary,error_message
2026-05-26 18:24:10,CHAT-011,messages 为空数组,boundary_validation,P1,chat_completions,POST,/v1/chat/completions,error,422,500,validation_error,validation_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": []}","{""date"": ""Tue, 26 May 2026 10:24:10 GMT"", ""server"": ""uvicorn"", ""content-length"": ""170"", ""content-type"": ""application/json""}",,,"{""detail"": ""Chat Completions API 调用失败: Error code: 400 - {'error': {'message': 'list index out of range', 'type': 'BadRequestError', 'param': None, 'code': 400}}""}",执行或断言失败,AssertionError: HTTP 状态码不匹配: 期望 422，实际 500
2026-05-26 18:24:10,CHAT-012,messages 不是数组,type_validation,P0,chat_completions,POST,/v1/chat/completions,success,422,422,validation_error,validation_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": {""role"":""user"",""content"":""介绍一下Python""}}","{""date"": ""Tue, 26 May 2026 10:24:10 GMT"", ""server"": ""uvicorn"", ""content-length"": ""151"", ""content-type"": ""application/json""}",,,"{""detail"": [{""type"": ""list_type"", ""loc"": [""body"", ""messages""], ""msg"": ""Input should be a valid list"", ""input"": {""role"": ""user"", ""content"": ""介绍一下Python""}}]}",全部断言通过,
2026-05-26 18:24:10,CHAT-013,messages 元素缺少 role,required_validation,P0,chat_completions,POST,/v1/chat/completions,success,422,422,validation_error,validation_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""content"":""介绍一下Python""}]}","{""date"": ""Tue, 26 May 2026 10:24:10 GMT"", ""server"": ""uvicorn"", ""content-length"": ""130"", ""content-type"": ""application/json""}",,,"{""detail"": [{""type"": ""missing"", ""loc"": [""body"", ""messages"", 0, ""role""], ""msg"": ""Field required"", ""input"": {""content"": ""介绍一下Python""}}]}",全部断言通过,
2026-05-26 18:24:10,CHAT-014,messages 元素缺少 content,required_validation,P0,chat_completions,POST,/v1/chat/completions,success,422,422,validation_error,validation_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user""}]}","{""date"": ""Tue, 26 May 2026 10:24:10 GMT"", ""server"": ""uvicorn"", ""content-length"": ""116"", ""content-type"": ""application/json""}",,,"{""detail"": [{""type"": ""missing"", ""loc"": [""body"", ""messages"", 0, ""content""], ""msg"": ""Field required"", ""input"": {""role"": ""user""}}]}",全部断言通过,
2026-05-26 18:24:10,CHAT-015,model 传整数,type_validation,P0,chat_completions,POST,/v1/chat/completions,success,422,422,validation_error,validation_error,"{""model"":123,""messages"": [{""role"":""user"",""content"":""介绍一下Python""}]}","{""date"": ""Tue, 26 May 2026 10:24:10 GMT"", ""server"": ""uvicorn"", ""content-length"": ""109"", ""content-type"": ""application/json""}",,,"{""detail"": [{""type"": ""string_type"", ""loc"": [""body"", ""model""], ""msg"": ""Input should be a valid string"", ""input"": 123}]}",全部断言通过,
2026-05-26 18:24:10,CHAT-016,role 传整数,type_validation,P1,chat_completions,POST,/v1/chat/completions,success,422,422,validation_error,validation_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":1,""content"":""介绍一下Python""}]}","{""date"": ""Tue, 26 May 2026 10:24:10 GMT"", ""server"": ""uvicorn"", ""content-length"": ""119"", ""content-type"": ""application/json""}",,,"{""detail"": [{""type"": ""string_type"", ""loc"": [""body"", ""messages"", 0, ""role""], ""msg"": ""Input should be a valid string"", ""input"": 1}]}",全部断言通过,
2026-05-26 18:24:10,CHAT-017,content 传数组,type_validation,P1,chat_completions,POST,/v1/chat/completions,success,422,422,validation_error,validation_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"": [""介绍一下Python""]}]}","{""date"": ""Tue, 26 May 2026 10:24:10 GMT"", ""server"": ""uvicorn"", ""content-length"": ""143"", ""content-type"": ""application/json""}",,,"{""detail"": [{""type"": ""string_type"", ""loc"": [""body"", ""messages"", 0, ""content""], ""msg"": ""Input should be a valid string"", ""input"": [""介绍一下Python""]}]}",全部断言通过,
2026-05-26 18:24:11,CHAT-018,compliance_check 传字符串,type_validation,P1,chat_completions,POST,/v1/chat/completions,error,422,,validation_error,request_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"":""介绍一下Python""}],""compliance_check"":""1""}",,,,,执行或断言失败,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-05-26 18:25:01,CHAT-019,compliance_check=-1,enum_validation,P1,chat_completions,POST,/v1/chat/completions,error,422,,validation_error,request_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"":""介绍一下Python""}],""compliance_check"":-1}",,,,,执行或断言失败,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-05-26 18:25:51,CHAT-020,compliance_check=4,enum_validation,P1,chat_completions,POST,/v1/chat/completions,error,422,,validation_error,request_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"":""介绍一下Python""}],""compliance_check"":4}",,,,,执行或断言失败,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-05-26 18:26:41,CHAT-021,成功响应固定结构校验,response_schema,P0,chat_completions,POST,/v1/chat/completions,error,200,,success,request_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"":""请简单介绍机器学习""}]}",,,,,执行或断言失败,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-05-26 18:27:31,CHAT-022,失败响应固定结构校验,response_schema,P0,chat_completions,POST,/v1/chat/completions,error,422,,validation_error,request_error,"{""model"":123,""messages"": [{""role"":""user"",""content"":""介绍一下Python""}]}",,,,,执行或断言失败,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
